"","NAME","N","DHONDT","YEAR","PROVINCENUM","PROVINCE"
"193","Korhonen Pirjo",69,499.444,2007,1,"HEL"
"194","Kotilainen Tytti",67,449.5,2007,1,"HEL"
"195","Lehtinen Rafael",61,374.583,2007,1,"HEL"
"196","Väisänen Juha-Pekka",61,408.636,2007,1,"HEL"
"197","Helenius Kari",58,345.769,2007,1,"HEL"
"198","Lindström Kari",49,321.071,2007,1,"HEL"
"199","Tulkki Esa",48,299.667,2007,1,"HEL"
"200","Åsnabrygg Jarmo",43,280.938,2007,1,"HEL"
"201","Järvenpää Elina",42,264.412,2007,1,"HEL"
"202","Hongisto Sanna",41,249.722,2007,1,"HEL"
"203","Mångård Johan",30,236.579,2007,1,"HEL"
"204","Siirilä Tapio",27,224.75,2007,1,"HEL"
"205","Lilja Juhani",21,214.048,2007,1,"HEL"
"206",NA,NA,NA,2007,1,"HEL"
"207","SSP",NA,NA,2007,1,"HEL"
"208","Hänninen Reijo",367,2355,2007,1,"HEL"
"209","Korhonen Riitta",271,1177.5,2007,1,"HEL"
"210","Piirainen Marja",197,785,2007,1,"HEL"
"211","Bang Pirkko",168,588.75,2007,1,"HEL"
"212","Hölsä Matti",161,471,2007,1,"HEL"
"213","Korhonen Urmas",145,392.5,2007,1,"HEL"
"214","Kock Richard",110,336.429,2007,1,"HEL"
"215","Semi Saara",102,294.375,2007,1,"HEL"
"216","Kiiskinen Aini",101,261.667,2007,1,"HEL"
"217","Rinkinen Paula",99,235.5,2007,1,"HEL"
"218","Hytönen Risto",97,214.091,2007,1,"HEL"
"219","Aho-Marjanen Lahja",84,196.25,2007,1,"HEL"
"220","Olmala Salme",78,181.154,2007,1,"HEL"
"221","Mäkynen Heikki",57,168.214,2007,1,"HEL"
"222","Posti Esko",54,157,2007,1,"HEL"
"223","Laakso Reijo",51,147.188,2007,1,"HEL"
"224","Vainio Leena",49,138.529,2007,1,"HEL"
"225","Lysti Onni",45,130.833,2007,1,"HEL"
"226","Kononen Niilo",42,123.947,2007,1,"HEL"
"227","Nyholm Stig",39,117.75,2007,1,"HEL"
"228","Kuntsi Harri",38,112.143,2007,1,"HEL"
"229",NA,NA,NA,2007,1,"HEL"
"230","IP",NA,NA,2007,1,"HEL"
"231","Finskas Jan",127,553.824,2007,1,"HEL"
"232","Lahtiluoma Mikko",100,448.333,2007,1,"HEL"
"233",NA,NA,NA,2007,1,"HEL"
"234","SKS",NA,NA,2007,1,"HEL"
"235","Manninen Antero",165,224,2007,1,"HEL"
"236","Brockmann Matias-Christian",59,112,2007,1,"HEL"
"237",NA,NA,NA,2007,1,"HEL"
"238","LIB",NA,NA,2007,1,"HEL"
"239","Rauhala Mikko",440,1416,2007,1,"HEL"
"240","Mustalahti Mika",392,708,2007,1,"HEL"
"241","Kalske Markus",106,472,2007,1,"HEL"
"242","Särelä Mikko",95,354,2007,1,"HEL"
"243","Innamaa Ilkka",68,283.2,2007,1,"HEL"
"244","Romppainen Leena",64,236,2007,1,"HEL"
"245","Heinonen Toni",60,202.286,2007,1,"HEL"
"246","Eriksson Kimmo",57,177,2007,1,"HEL"
"247","Koivistoinen Timo",47,157.333,2007,1,"HEL"
"248","Snellman Jouni",42,141.6,2007,1,"HEL"
"249","Turunen Harri",27,128.727,2007,1,"HEL"
"250","Nepponen Karri",18,118,2007,1,"HEL"
"251",NA,NA,NA,2007,1,"HEL"
"252","KA",NA,NA,2007,1,"HEL"
"253","Savola Terttu",893,4398,2007,1,"HEL"
"254",NA,NA,NA,2007,1,"HEL"
"255","KTP - KAP",NA,NA,2007,1,"HEL"
"256","Kauhanen Teuvo",41,150,2007,1,"HEL"
"257","Vartiainen Mikko",20,75,2007,1,"HEL"
"258","Pöyhönen Raimo",18,50,2007,1,"HEL"
"259","Niskanen Reino",15,37.5,2007,1,"HEL"
"260","Vesterinen Pentti",15,30,2007,1,"HEL"
"261","Timonen Seija",13,25,2007,1,"HEL"
"262","Vaahtera Jukka",13,21.429,2007,1,"HEL"
"263","Valo Juhani",9,18.75,2007,1,"HEL"
"264","Valo Britt-Marie",6,16.667,2007,1,"HEL"
"265",NA,NA,NA,2007,1,"HEL"
"266","STP - FAP",NA,NA,2007,1,"HEL"
"267","Salomaa Martti",122,687,2007,1,"HEL"
"268","Tiainen Pekka",122,343.5,2007,1,"HEL"
"269","Kyrönlahti-Keskivaara Rosa-Maria",94,229,2007,1,"HEL"
"270","Rahikainen Janne",74,171.75,2007,1,"HEL"
"271","Paakkolanvaara Liisa",58,137.4,2007,1,"HEL"
"272","Laitinen Matti",53,114.5,2007,1,"HEL"
"273","Heikkinen Paavo",44,98.143,2007,1,"HEL"
"274","Kasurinen Teuvo",28,85.875,2007,1,"HEL"
"275","Seppänen Pentti",27,76.333,2007,1,"HEL"
"276","Sipilä Heikki",23,68.7,2007,1,"HEL"
"277","Rahikainen Ville",22,62.455,2007,1,"HEL"
"278","Sulavuori Esko",12,57.25,2007,1,"HEL"
"279","Siika-aho Antti",8,52.846,2007,1,"HEL"
"280",NA,NA,NA,2007,1,"HEL"
"281","MUUT,  EI PUOLUEET - ÖVRIGA - OTHERS",NA,NA,2007,1,"HEL"
"282","Syväoja Tomi",97,97,2007,1,"HEL"
"283","Hänninen Ville",80,80,2007,1,"HEL"
"284","Basic Marijan",58,58,2007,1,"HEL"
"285","Varje Eero",45,45,2007,1,"HEL"
"286",NA,NA,NA,2007,1,"HEL"
"287",NA,NA,NA,2007,1,"HEL"
"288","UUSIMAA  - NYLAND",NA,NA,2007,2,"UUS"
"289",NA,NA,NA,2007,2,"UUS"
"290","KESK - CENT",NA,NA,2007,2,"UUS"
"291","*Vanhanen Matti",24112,57609,2007,2,"UUS"
"292","*Saarela Tanja",5712,28804.5,2007,2,"UUS"
"293","*Kaikkonen Antti",4263,19203,2007,2,"UUS"
"294","*Uusipaavalniemi Markku",2817,14402.25,2007,2,"UUS"
"295","Särkiniemi Seppo",2740,11521.8,2007,2,"UUS"
"296","Sorsa Simo",1386,9601.5,2007,2,"UUS"
"297","Viljanen Eerikki",1373,8229.857,2007,2,"UUS"
"298","Lankia Eero",1303,7201.125,2007,2,"UUS"
"299","Malmgrén Varpu-Leena",1083,6401,2007,2,"UUS"
"300","Isometsä Jari",943,5760.9,2007,2,"UUS"
"301","Riikonen Leena",890,5237.182,2007,2,"UUS"
"302","Leppänen Pia",779,4800.75,2007,2,"UUS"
"303","Mikkonen Tuire",760,4431.462,2007,2,"UUS"
"304","Vähäkainu Henri",691,4114.929,2007,2,"UUS"
"305","Laine Marja-Leena",681,3840.6,2007,2,"UUS"
"306","Auvinen Timo",655,3600.563,2007,2,"UUS"
"307","Klaucke Eija",638,3388.765,2007,2,"UUS"
"308","Salmi Jukka",629,3200.5,2007,2,"UUS"
"309","Holsti Jaakko",601,3032.053,2007,2,"UUS"
"310","Ryhänen Riitta",599,2880.45,2007,2,"UUS"
"311","Hursti Anna-Mari",580,2743.286,2007,2,"UUS"
"312","Alkio Mikko",570,2618.591,2007,2,"UUS"
"313","Salonen Antti",547,2504.739,2007,2,"UUS"
"314","Siberg Heli",497,2400.375,2007,2,"UUS"
"315","Koli Eero",467,2304.36,2007,2,"UUS"
"316","Rusi Alpo",415,2215.731,2007,2,"UUS"
"317","Ahvenainen Mikko",333,2133.667,2007,2,"UUS"
"318","Helenius Annukka",288,2057.464,2007,2,"UUS"
"319","Savolainen Mariitta",260,1986.517,2007,2,"UUS"
"320","Kari Marja-Liisa",258,1920.3,2007,2,"UUS"
"321","Mäkinen Auno",225,1858.355,2007,2,"UUS"
"322","Sundström Terhi",209,1800.281,2007,2,"UUS"
"323","Kuosmanen Jorma",208,1745.727,2007,2,"UUS"
"324","Selivanova Olesja",97,1694.382,2007,2,"UUS"
"325",NA,NA,NA,2007,2,"UUS"
"326","KOK - SAML",NA,NA,2007,2,"UUS"
"327","*Niinistö Sauli",60563,133885,2007,2,"UUS"
"328","*Matikainen-Kallström Marjo",6249,66942.5,2007,2,"UUS"
"329","*Mäkelä Outi",5808,44628.333,2007,2,"UUS"
"330","*Vahasalo Raija",5296,33471.25,2007,2,"UUS"
"331","*Mäkinen Tapani",4450,26777,2007,2,"UUS"
"332","*Hemming Hanna-Leena",4203,22314.167,2007,2,"UUS"
"333","*Harkimo Leena",4074,19126.429,2007,2,"UUS"
"334","*Akaan-Penttilä Eero",3985,16735.625,2007,2,"UUS"
"335","*Mäkelä Jukka",3564,14876.111,2007,2,"UUS"
"336","*Lauslahti Sanna",3544,13388.5,2007,2,"UUS"
"337","*Lehti Eero",3215,12171.364,2007,2,"UUS"
"338","Virén Lasse",2788,11157.083,2007,2,"UUS"
"339","Patinen Jussi",2174,10298.846,2007,2,"UUS"
"340","Perttu Helinä",2122,9563.214,2007,2,"UUS"
"341","Lignell Raakel",2010,8925.667,2007,2,"UUS"
"342","Saarikangas Martin",1874,8367.813,2007,2,"UUS"
"343","Orpana Anitta",1701,7875.588,2007,2,"UUS"
"344","Sandell Annukka",1660,7438.056,2007,2,"UUS"
"345","Noro Tiina",1625,7046.579,2007,2,"UUS"
"346","Keskinen Jarmo",1438,6694.25,2007,2,"UUS"
"347","Peura Sirpa",1309,6375.476,2007,2,"UUS"
"348","Torkki Markus",1260,6085.682,2007,2,"UUS"
"349","Kemppi-Virtanen Pirjo",1076,5821.087,2007,2,"UUS"
"350","Daniel Hans-Christian",981,5578.542,2007,2,"UUS"
"351","Koskinen Hanna",979,5355.4,2007,2,"UUS"
"352","Rönkä Antero",962,5149.423,2007,2,"UUS"
"353","Komulainen Riikka",898,4958.704,2007,2,"UUS"
"354","Kari Harri",807,4781.607,2007,2,"UUS"
"355","Hanhela Sirkku",804,4616.724,2007,2,"UUS"
"356","Jääskeläinen Jarmo",722,4462.833,2007,2,"UUS"
"357","Syrjänen Vesa",622,4318.871,2007,2,"UUS"
"358","Sandström Tomi",605,4183.906,2007,2,"UUS"
"359","Holm Tuija",397,4057.121,2007,2,"UUS"
"360","Hartman Bengt",120,3937.794,2007,2,"UUS"
"361",NA,NA,NA,2007,2,"UUS"
"362","SDP",NA,NA,2007,2,"UUS"
"363","*Guzenina-Richardson Maria",12578,94215,2007,2,"UUS"
"364","*Kalliomäki Antti",9234,47107.5,2007,2,"UUS"
"365","*Feldt-Ranta Maarit",5949,31405,2007,2,"UUS"
"366","*Kiljunen Kimmo",5940,23553.75,2007,2,"UUS"
"367","*Saarinen Matti",5430,18843,2007,2,"UUS"
"368","*Kuusisto Merja",5130,15702.5,2007,2,"UUS"
"369","*Taberman Tommy",4814,13459.286,2007,2,"UUS"
"370","Kuisma Risto",4765,11776.875,2007,2,"UUS"
"371","Rahkonen Susanna",3895,10468.333,2007,2,"UUS"
"372","Tani Sari",2863,9421.5,2007,2,"UUS"
"373","Alho Arja",2726,8565,2007,2,"UUS"
"374","Jalonen Jaakko",2667,7851.25,2007,2,"UUS"
"375","Luhtanen Leena",2444,7247.308,2007,2,"UUS"
"376","Niemi-Saari Mari",2380,6729.643,2007,2,"UUS"
"377","Sistonen Markku",2165,6281,2007,2,"UUS"
"378","Rajajärvi Anu",2107,5888.438,2007,2,"UUS"
"379","Karhunen Sanna",1904,5542.059,2007,2,"UUS"
"380","Karjalainen Anne",1890,5234.167,2007,2,"UUS"
"381","Lindtman Antti",1741,4958.684,2007,2,"UUS"
"382","Murto Marja-Leena",1439,4710.75,2007,2,"UUS"
"383","Meros Päivi",1373,4486.429,2007,2,"UUS"
"384","Bergholm Tapio",1288,4282.5,2007,2,"UUS"
"385","Kuntsi Hanna",1163,4096.304,2007,2,"UUS"
"386","Pokki Simo",1138,3925.625,2007,2,"UUS"
"387","Harinen Ari",984,3768.6,2007,2,"UUS"
"388","Viialainen Matti",957,3623.654,2007,2,"UUS"
"389","Kauppinen Eeva",921,3489.444,2007,2,"UUS"
"390","Jääskeläinen Iiro",892,3364.821,2007,2,"UUS"
"391","Puoskari Pentti",767,3248.793,2007,2,"UUS"
"392","Feldt Maria",708,3140.5,2007,2,"UUS"
"393","Holopainen Janne",677,3039.194,2007,2,"UUS"
"394","Grönqvist Kjell",636,2944.219,2007,2,"UUS"
"395","Vuolasranta Miranda",392,2855,2007,2,"UUS"
"396","Leivonen Heikki",258,2771.029,2007,2,"UUS"
"397",NA,NA,NA,2007,2,"UUS"
"398","VAS- VÄNST - LEFT",NA,NA,2007,2,"UUS"
"399","*Andersson Claes",9390,31324,2007,2,"UUS"
"400","*Laakso Jaakko",3074,15662,2007,2,"UUS"
"401","Uotila Kari",2975,10441.333,2007,2,"UUS"
"402","Salo Salla",2603,7831,2007,2,"UUS"
"403","Pajuoja Matti",2076,6264.8,2007,2,"UUS"
"404","Saramo Jussi",1094,5220.667,2007,2,"UUS"
"405","Kouhia Juhani",945,4474.857,2007,2,"UUS"
"406","Jakka Raine",797,3915.5,2007,2,"UUS"
"407","Korhonen Tuula",764,3480.444,2007,2,"UUS"
"408","Tyystjärvi Kati",699,3132.4,2007,2,"UUS"
"409","Syvärinen Katja",678,2847.636,2007,2,"UUS"
"410","Rahkola Anne",591,2610.333,2007,2,"UUS"
"411","Gran Birgitta",478,2409.538,2007,2,"UUS"
"412","Pihlaja Kirsi",389,2237.429,2007,2,"UUS"
"413","Tuomisto Leena",370,2088.267,2007,2,"UUS"
"414","Virta Sari",350,1957.75,2007,2,"UUS"
"415","Siltala Hannu",343,1842.588,2007,2,"UUS"
"416","Karhula Jukka",341,1740.222,2007,2,"UUS"
"417","Aaltonen Tero",313,1648.632,2007,2,"UUS"
"418","Saastamoinen Tuula",303,1566.2,2007,2,"UUS"
"419","Jaakkola Milla",299,1491.619,2007,2,"UUS"
"420","Haapanen Ilmari",287,1423.818,2007,2,"UUS"
"421","Ruuth Saila",270,1361.913,2007,2,"UUS"
"422","Hujanen Kari",244,1305.167,2007,2,"UUS"
"423","Laukkanen Erkki",209,1252.96,2007,2,"UUS"
"424","Liukkonen Oili",198,1204.769,2007,2,"UUS"
"425","Hurmerinta Kari",193,1160.148,2007,2,"UUS"
"426","Pääkkönen Vesa",188,1118.714,2007,2,"UUS"
"427","Komonen Jenni",187,1080.138,2007,2,"UUS"
"428","Kokkonen Esko",184,1044.133,2007,2,"UUS"
"429","Kallas Tuukka",153,1010.452,2007,2,"UUS"
"430","Parant Mirjami",147,978.875,2007,2,"UUS"
"431","Lindman Juho",103,949.212,2007,2,"UUS"
"432","Fredlund Maarit",89,921.294,2007,2,"UUS"
"433",NA,NA,NA,2007,2,"UUS"
"434","VIHR -GRÖNA - GREENS",NA,NA,2007,2,"UUS"
"435","*Hautala Heidi",12924,50718,2007,2,"UUS"
"436","*Kasvi Jyrki",4880,25359,2007,2,"UUS"
"437","*Karimäki Johanna",2659,16906,2007,2,"UUS"
"438","*Forsius Merikukka",2479,12679.5,2007,2,"UUS"
"439","Juurikkala Timo",2106,10143.6,2007,2,"UUS"
"440","Fogelholm Mikael",2001,8453,2007,2,"UUS"
"441","Leka Kaisa",1890,7245.429,2007,2,"UUS"
"442","Salo Aija",1709,6339.75,2007,2,"UUS"
"443","Honkanummi Eeva",1645,5635.333,2007,2,"UUS"
"444","Kauppinen Sirpa",1397,5071.8,2007,2,"UUS"
"445","Mäkelä Anna",1316,4610.727,2007,2,"UUS"
"446","Länsipuro Janne",1306,4226.5,2007,2,"UUS"
"447","Rantanen Laura",1159,3901.385,2007,2,"UUS"
"448","Björs Marko",1102,3622.714,2007,2,"UUS"
"449","Cantell-Forsbom Anna",1077,3381.2,2007,2,"UUS"
"450","Häggblom Laura",959,3169.875,2007,2,"UUS"
"451","Saarivuo-Sirén Maria",944,2983.412,2007,2,"UUS"
"452","Pursiainen Terho",896,2817.667,2007,2,"UUS"
"453","Suomalainen Sami",757,2669.368,2007,2,"UUS"
"454","Ala-Paavola Sinikka",733,2535.9,2007,2,"UUS"
"455","Kokko Hannu",714,2415.143,2007,2,"UUS"
"456","Pöllänen Raijaliisa",703,2305.364,2007,2,"UUS"
"457","Salokannel Susanna",642,2205.13,2007,2,"UUS"
